俯仰/度,滚转/度,滚转/度.1,航向/度,航向/度.1,航向/度.2,航向/度.3,无线电高度高位/FT,无线电高度低位/FT,计算空速/KT,计算空速/KT.1,计算空速/KT.2,计算空速/KT.3,垂直速度/KT,马赫数,风速/KT,左攻角/DEG,右攻角/DEG,气压高度高位/FT,气压高度低位/FT,时,分,秒,推力扭矩,襟翼手柄位置/度,左襟翼/度,右襟翼/度,目标空速/KT,选择空速/KT,VOR频率/MHZ,燃油量/LBS,排气温度/DEG C
64.0,64.0,64.0,180.0,180.0,180.0,180.0,2048,2046,45.0,45.0,45.0,45.0,16384,0.15,0.0,107.05078125,176.8359375,130560,632,22,8,11,63.5,0.3515625,719.6484375,0.703125,256.0,256.0,61.6,6780,3.0
125.8125,0.0,0.0,207.0703125,207.0703125,207.0703125,207.0703125,2048,2046,45.0,45.0,45.0,45.0,19936,0.15,0.0,107.05078125,176.8359375,130560,632,22,8,13,63.5,0.3515625,719.6484375,0.703125,470.5,495.5,61.6,0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,2046,45.0,45.0,45.0,45.0,0,0.15,0.0,107.05078125,176.8359375,130560,632,22,8,15,63.5,0.3515625,719.6484375,0.703125,0.0,0.0,61.6,0,2.75
0.0,0.0,0.0,207.0703125,207.0703125,207.0703125,207.0703125,2048,2046,45.0,45.0,45.0,45.0,19936,0.15,0.0,107.05078125,176.8359375,130560,632,22,55,8,63.5,0.3515625,719.6484375,0.703125,470.5,495.5,61.6,2100,2.75
96.0,96.0,96.0,180.0,180.0,180.0,180.0,2048,2046,45.0,45.0,45.0,45.0,16384,0.15,0.0,107.05078125,176.8359375,130560,632,22,55,10,63.5,0.3515625,719.6484375,0.703125,256.0,256.0,61.6,70,2.75
0.0,0.0,0.0,207.0703125,207.0703125,207.0703125,207.0703125,2048,2046,45.0,45.0,45.0,45.0,19936,0.15,0.0,107.05078125,176.8359375,130560,632,22,55,12,63.5,0.3515625,719.6484375,0.703125,470.5,495.5,61.6,0,2.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,2046,45.0,45.0,45.0,45.0,0,0.15,0.0,107.05078125,176.8359375,130560,632,22,55,14,63.5,0.3515625,719.6484375,0.703125,0.0,0.0,61.6,0,2.75
0.0,0.0,127.9375,207.0703125,207.0703125,207.0703125,207.0703125,2048,2046,45.0,45.0,45.0,45.0,0,0.15,0.0,107.05078125,176.8359375,130560,632,22,55,16,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,2100,3.25
96.0,96.0,96.0,180.0,180.0,180.0,180.0,2048,2046,45.0,45.0,45.0,45.0,0,0.15,0.0,107.05078125,176.8359375,130560,632,22,55,18,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,2540,3.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2046,45.0,45.0,45.0,45.0,0,0.15,0.0,107.05078125,176.8359375,130560,632,22,55,20,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,7680,3.25
