41,425,489,35,163,291,419,125,124,44,172,300,428,316,432,244,73,75,46,47,363,444,445,446,236,364,248,456,208,256,257
	0800,	0800,	0800,	0802,	0803,	0803,	0803,	0803,	0ffc,	0169,	0168,	0169,	0168,	0800,	0258,	0000,	0984,	0fba,	0ff3,	09e0,	0fe2,	0004,	0ffe,	0004,	0801,	0800,	09a1,	0a98,	0031,	0b10,	0f97
	0fbb,	0000,	0000,	0936,	0937,	0937,	0937,	0deb,	0ffc,	0169,	0168,	0169,	0168,	09bd,	0258,	0000,	0984,	0fb8,	0ff2,	09e0,	0fe2,	0004,	0ffe,	0004,	0eb5,	0f7c,	09a1,	0000,	0031,	0b10,	0f9b
	0000,	0000,	0000,	0002,	0003,	0003,	0003,	0ac3,	0ffc,	0168,	0168,	0169,	0168,	0000,	0258,	0000,	0984,	0fb8,	0ff2,	09e0,	0fe2,	0004,	0ffe,	0004,	0001,	0000,	09a1,	0000,	002d,	0b10,	0f9f
	0000,	0000,	0000,	0936,	0937,	0937,	0937,	0deb,	0ffc,	0168,	0168,	0169,	0168,	09bd,	0258,	0000,	0984,	0fb8,	0ff0,	09e0,	0fe2,	0004,	0ffe,	0004,	0eb5,	0f7c,	09a1,	0348,	002d,	0b6f,	01d0
	0c00,	0c00,	0c00,	0802,	0803,	0803,	0803,	0003,	0ffc,	0168,	0168,	0169,	0168,	0800,	0258,	0000,	0984,	0fb8,	0ff0,	09e0,	0fe2,	0004,	0ffe,	0004,	0801,	0800,	09a1,	001e,	002d,	0b6f,	01d4
	0000,	0000,	0000,	0936,	0937,	0937,	0937,	0deb,	0ffc,	0168,	0168,	0169,	0168,	09bd,	0258,	0000,	0984,	0fb8,	0ff0,	09e0,	0fe2,	0004,	0ffe,	0004,	0eb5,	0f7c,	09a1,	0000,	002d,	0b6f,	01d8
	0000,	0000,	0000,	0002,	0003,	0003,	0003,	0ac3,	0ffc,	0168,	0168,	0169,	0168,	0000,	0258,	0000,	0984,	0fb8,	0ff0,	09e0,	0fe2,	0004,	0ffe,	0004,	0001,	0000,	09a1,	0000,	002d,	0b6f,	01dc
	0000,	0000,	0fff,	0936,	0936,	0936,	0936,	0deb,	0ffc,	0168,	0168,	0169,	0168,	0000,	0258,	0000,	0984,	0fb8,	0ff2,	09e0,	0ffa,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0348,	0035,	0b6f,	01e0
	0c00,	0c00,	0c00,	0802,	0802,	0802,	0802,	0803,	0ffc,	0168,	0168,	0169,	0168,	0000,	0258,	0000,	0984,	0fb8,	0ff2,	09e0,	0ffa,	0004,	0ffe,	0004,	0321,	0320,	09a0,	03fb,	0035,	0b6f,	01e4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0d83,	0ffc,	0168,	0168,	0169,	0168,	0000,	0258,	0000,	0984,	0fb8,	0ff2,	09e0,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0c00,	0035,	0b6f,	01e8
